Image_File_Path,Breed,Label,Split
data\dog images\Rottweiler\image_322.jpg,Rottweiler,3,train
data\dog images\Golden_Retriever\image_466.jpg,Golden Retriever,1,train
data\dog images\Dalmatian\image_76.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_6.jpg,Dalmatian,0,train
data\dog images\Rottweiler\image_174.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_377.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_416.jpg,Golden Retriever,1,train
data\dog images\Golden_Retriever\image_49.jpg,Golden Retriever,1,train
data\dog images\Golden_Retriever\image_59.jpg,Golden Retriever,1,train
data\dog images\Rottweiler\image_285.jpg,Rottweiler,3,train
data\dog images\Rottweiler\image_92.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_375.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_63.jpg,Golden Retriever,1,train
data\dog images\Pug\image_292.jpg,Pug,2,train
data\dog images\Dalmatian\image_487.jpg,Dalmatian,0,train
data\dog images\Rottweiler\image_464.jpg,Rottweiler,3,train
data\dog images\Rottweiler\image_189.jpg,Rottweiler,3,train
data\dog images\Rottweiler\image_98.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_402.jpg,Dalmatian,0,train
data\dog images\Rottweiler\image_116.jpg,Rottweiler,3,train
data\dog images\Golden_Retriever\image_251.jpg,Golden Retriever,1,train
data\dog images\Dalmatian\image_440.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_430.jpg,Dalmatian,0,train
data\dog images\Rottweiler\image_224.jpg,Rottweiler,3,train
data\dog images\Pug\image_445.jpg,Pug,2,train
data\dog images\Dalmatian\image_483.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_138.jpg,Golden Retriever,1,train
data\dog images\Rottweiler\image_326.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_197.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_26.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_16.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_261.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_289.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_41.jpg,Dalmatian,0,train
data\dog images\Rottweiler\image_458.jpg,Rottweiler,3,train
data\dog images\Rottweiler\image_337.jpg,Rottweiler,3,train
data\dog images\Rottweiler\image_328.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_163.jpg,Dalmatian,0,train
data\dog images\Rottweiler\image_145.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_475.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_262.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_74.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_225.jpg,Dalmatian,0,train
data\dog images\Rottweiler\image_105.jpg,Rottweiler,3,train
data\dog images\Rottweiler\image_131.jpg,Rottweiler,3,train
data\dog images\Golden_Retriever\image_349.jpg,Golden Retriever,1,train
data\dog images\Dalmatian\image_77.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_409.jpg,Golden Retriever,1,train
data\dog images\Dalmatian\image_299.jpg,Dalmatian,0,train
data\dog images\Rottweiler\image_90.jpg,Rottweiler,3,train
data\dog images\Pug\image_15.jpg,Pug,2,train
data\dog images\Dalmatian\image_318.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_82.jpg,Golden Retriever,1,train
data\dog images\Dalmatian\image_112.jpg,Dalmatian,0,train
data\dog images\Pug\image_255.jpg,Pug,2,train
data\dog images\Dalmatian\image_269.jpg,Dalmatian,0,train
data\dog images\Pug\image_193.jpg,Pug,2,train
data\dog images\Rottweiler\image_191.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_413.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_78.jpg,Golden Retriever,1,train
data\dog images\Golden_Retriever\image_228.jpg,Golden Retriever,1,train
data\dog images\Golden_Retriever\image_204.jpg,Golden Retriever,1,train
data\dog images\Dalmatian\image_64.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_442.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_140.jpg,Golden Retriever,1,train
data\dog images\Pug\image_253.jpg,Pug,2,train
data\dog images\Golden_Retriever\image_212.jpg,Golden Retriever,1,train
data\dog images\Golden_Retriever\image_173.jpg,Golden Retriever,1,train
data\dog images\Rottweiler\image_48.jpg,Rottweiler,3,train
data\dog images\Golden_Retriever\image_270.jpg,Golden Retriever,1,train
data\dog images\Dalmatian\image_347.jpg,Dalmatian,0,train
data\dog images\Pug\image_346.jpg,Pug,2,train
data\dog images\Dalmatian\image_298.jpg,Dalmatian,0,train
data\dog images\Pug\image_235.jpg,Pug,2,train
data\dog images\Pug\image_148.jpg,Pug,2,train
data\dog images\Dalmatian\image_433.jpg,Dalmatian,0,train
data\dog images\Pug\image_189.jpg,Pug,2,train
data\dog images\Golden_Retriever\image_318.jpg,Golden Retriever,1,train
data\dog images\Rottweiler\image_181.jpg,Rottweiler,3,train
data\dog images\Rottweiler\image_343.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_105.jpg,Dalmatian,0,train
data\dog images\Rottweiler\image_225.jpg,Rottweiler,3,train
data\dog images\Rottweiler\image_154.jpg,Rottweiler,3,train
data\dog images\Golden_Retriever\image_492.jpg,Golden Retriever,1,train
data\dog images\Golden_Retriever\image_5.jpg,Golden Retriever,1,train
data\dog images\Dalmatian\image_303.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_368.jpg,Dalmatian,0,train
data\dog images\Rottweiler\image_418.jpg,Rottweiler,3,train
data\dog images\Golden_Retriever\image_437.jpg,Golden Retriever,1,train
data\dog images\Golden_Retriever\image_412.jpg,Golden Retriever,1,train
data\dog images\Golden_Retriever\image_443.jpg,Golden Retriever,1,train
data\dog images\Dalmatian\image_8.jpg,Dalmatian,0,train
data\dog images\Rottweiler\image_46.jpg,Rottweiler,3,train
data\dog images\Pug\image_145.jpg,Pug,2,train
data\dog images\Rottweiler\image_393.jpg,Rottweiler,3,train
data\dog images\Golden_Retriever\image_335.jpg,Golden Retriever,1,train
data\dog images\Dalmatian\image_290.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_274.jpg,Golden Retriever,1,train
data\dog images\Pug\image_127.jpg,Pug,2,train
data\dog images\Pug\image_375.jpg,Pug,2,train
data\dog images\Rottweiler\image_419.jpg,Rottweiler,3,train
data\dog images\Rottweiler\image_190.jpg,Rottweiler,3,train
data\dog images\Rottweiler\image_17.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_30.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_401.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_227.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_209.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_275.jpg,Golden Retriever,1,train
data\dog images\Dalmatian\image_476.jpg,Dalmatian,0,train
data\dog images\Pug\image_4.jpg,Pug,2,train
data\dog images\Rottweiler\image_49.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_384.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_488.jpg,Golden Retriever,1,train
data\dog images\Golden_Retriever\image_441.jpg,Golden Retriever,1,train
data\dog images\Rottweiler\image_67.jpg,Rottweiler,3,train
data\dog images\Pug\image_299.jpg,Pug,2,train
data\dog images\Dalmatian\image_283.jpg,Dalmatian,0,train
data\dog images\Rottweiler\image_395.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_235.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_110.jpg,Dalmatian,0,train
data\dog images\Pug\image_218.jpg,Pug,2,train
data\dog images\Pug\image_451.jpg,Pug,2,train
data\dog images\Pug\image_374.jpg,Pug,2,train
data\dog images\Pug\image_400.jpg,Pug,2,train
data\dog images\Pug\image_71.jpg,Pug,2,train
data\dog images\Rottweiler\image_78.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_145.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_161.jpg,Golden Retriever,1,train
data\dog images\Golden_Retriever\image_18.jpg,Golden Retriever,1,train
data\dog images\Dalmatian\image_33.jpg,Dalmatian,0,train
data\dog images\Rottweiler\image_59.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_337.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_240.jpg,Golden Retriever,1,train
data\dog images\Dalmatian\image_317.jpg,Dalmatian,0,train
data\dog images\Pug\image_28.jpg,Pug,2,train
data\dog images\Dalmatian\image_255.jpg,Dalmatian,0,train
data\dog images\Rottweiler\image_199.jpg,Rottweiler,3,train
data\dog images\Rottweiler\image_386.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_278.jpg,Dalmatian,0,train
data\dog images\Rottweiler\image_294.jpg,Rottweiler,3,train
data\dog images\Golden_Retriever\image_262.jpg,Golden Retriever,1,train
data\dog images\Rottweiler\image_332.jpg,Rottweiler,3,train
data\dog images\Rottweiler\image_184.jpg,Rottweiler,3,train
data\dog images\Golden_Retriever\image_53.jpg,Golden Retriever,1,train
data\dog images\Rottweiler\image_314.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_15.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_185.jpg,Golden Retriever,1,train
data\dog images\Dalmatian\image_343.jpg,Dalmatian,0,train
data\dog images\Pug\image_312.jpg,Pug,2,train
data\dog images\Dalmatian\image_246.jpg,Dalmatian,0,train
data\dog images\Pug\image_121.jpg,Pug,2,train
data\dog images\Golden_Retriever\image_77.jpg,Golden Retriever,1,train
data\dog images\Dalmatian\image_420.jpg,Dalmatian,0,train
data\dog images\Pug\image_57.jpg,Pug,2,train
data\dog images\Pug\image_280.jpg,Pug,2,train
data\dog images\Rottweiler\image_258.jpg,Rottweiler,3,train
data\dog images\Rottweiler\image_137.jpg,Rottweiler,3,train
data\dog images\Golden_Retriever\image_374.jpg,Golden Retriever,1,train
data\dog images\Rottweiler\image_478.jpg,Rottweiler,3,train
data\dog images\Pug\image_484.jpg,Pug,2,train
data\dog images\Dalmatian\image_406.jpg,Dalmatian,0,train
data\dog images\Pug\image_355.jpg,Pug,2,train
data\dog images\Pug\image_457.jpg,Pug,2,train
data\dog images\Rottweiler\image_500.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_499.jpg,Dalmatian,0,train
data\dog images\Rottweiler\image_413.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_219.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_62.jpg,Dalmatian,0,train
data\dog images\Rottweiler\image_135.jpg,Rottweiler,3,train
data\dog images\Golden_Retriever\image_346.jpg,Golden Retriever,1,train
data\dog images\Pug\image_371.jpg,Pug,2,train
data\dog images\Pug\image_331.jpg,Pug,2,train
data\dog images\Pug\image_264.jpg,Pug,2,train
data\dog images\Dalmatian\image_223.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_246.jpg,Golden Retriever,1,train
data\dog images\Golden_Retriever\image_42.jpg,Golden Retriever,1,train
data\dog images\Golden_Retriever\image_303.jpg,Golden Retriever,1,train
data\dog images\Pug\image_165.jpg,Pug,2,train
data\dog images\Dalmatian\image_43.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_206.jpg,Golden Retriever,1,train
data\dog images\Golden_Retriever\image_51.jpg,Golden Retriever,1,train
data\dog images\Pug\image_7.jpg,Pug,2,train
data\dog images\Rottweiler\image_466.jpg,Rottweiler,3,train
data\dog images\Golden_Retriever\image_305.jpg,Golden Retriever,1,train
data\dog images\Golden_Retriever\image_210.jpg,Golden Retriever,1,train
data\dog images\Rottweiler\image_385.jpg,Rottweiler,3,train
data\dog images\Pug\image_92.jpg,Pug,2,train
data\dog images\Dalmatian\image_212.jpg,Dalmatian,0,train
data\dog images\Rottweiler\image_354.jpg,Rottweiler,3,train
data\dog images\Pug\image_448.jpg,Pug,2,train
data\dog images\Dalmatian\image_363.jpg,Dalmatian,0,train
data\dog images\Rottweiler\image_481.jpg,Rottweiler,3,train
data\dog images\Golden_Retriever\image_291.jpg,Golden Retriever,1,train
data\dog images\Rottweiler\image_112.jpg,Rottweiler,3,train
data\dog images\Pug\image_103.jpg,Pug,2,train
data\dog images\Golden_Retriever\image_171.jpg,Golden Retriever,1,train
data\dog images\Rottweiler\image_306.jpg,Rottweiler,3,train
data\dog images\Rottweiler\image_167.jpg,Rottweiler,3,train
data\dog images\Rottweiler\image_156.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_380.jpg,Dalmatian,0,train
data\dog images\Pug\image_99.jpg,Pug,2,train
data\dog images\Dalmatian\image_211.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_36.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_123.jpg,Golden Retriever,1,train
data\dog images\Golden_Retriever\image_248.jpg,Golden Retriever,1,train
data\dog images\Golden_Retriever\image_359.jpg,Golden Retriever,1,train
data\dog images\Pug\image_208.jpg,Pug,2,train
data\dog images\Rottweiler\image_307.jpg,Rottweiler,3,train
data\dog images\Rottweiler\image_378.jpg,Rottweiler,3,train
data\dog images\Pug\image_77.jpg,Pug,2,train
data\dog images\Pug\image_432.jpg,Pug,2,train
data\dog images\Pug\image_441.jpg,Pug,2,train
data\dog images\Dalmatian\image_268.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_171.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_164.jpg,Dalmatian,0,train
data\dog images\Rottweiler\image_85.jpg,Rottweiler,3,train
data\dog images\Rottweiler\image_211.jpg,Rottweiler,3,train
data\dog images\Rottweiler\image_497.jpg,Rottweiler,3,train
data\dog images\Pug\image_169.jpg,Pug,2,train
data\dog images\Golden_Retriever\image_464.jpg,Golden Retriever,1,train
data\dog images\Rottweiler\image_149.jpg,Rottweiler,3,train
data\dog images\Golden_Retriever\image_395.jpg,Golden Retriever,1,train
data\dog images\Rottweiler\image_408.jpg,Rottweiler,3,train
data\dog images\Rottweiler\image_289.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_63.jpg,Dalmatian,0,train
data\dog images\Pug\image_422.jpg,Pug,2,train
data\dog images\Dalmatian\image_101.jpg,Dalmatian,0,train
data\dog images\Rottweiler\image_222.jpg,Rottweiler,3,train
data\dog images\Pug\image_437.jpg,Pug,2,train
data\dog images\Rottweiler\image_79.jpg,Rottweiler,3,train
data\dog images\Rottweiler\image_457.jpg,Rottweiler,3,train
data\dog images\Pug\image_315.jpg,Pug,2,train
data\dog images\Rottweiler\image_223.jpg,Rottweiler,3,train
data\dog images\Rottweiler\image_316.jpg,Rottweiler,3,train
data\dog images\Pug\image_388.jpg,Pug,2,train
data\dog images\Rottweiler\image_237.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_144.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_356.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_468.jpg,Golden Retriever,1,train
data\dog images\Pug\image_226.jpg,Pug,2,train
data\dog images\Dalmatian\image_84.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_98.jpg,Golden Retriever,1,train
data\dog images\Dalmatian\image_281.jpg,Dalmatian,0,train
data\dog images\Pug\image_495.jpg,Pug,2,train
data\dog images\Rottweiler\image_143.jpg,Rottweiler,3,train
data\dog images\Rottweiler\image_261.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_39.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_226.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_327.jpg,Golden Retriever,1,train
data\dog images\Golden_Retriever\image_74.jpg,Golden Retriever,1,train
data\dog images\Rottweiler\image_103.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_327.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_87.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_323.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_141.jpg,Golden Retriever,1,train
data\dog images\Golden_Retriever\image_404.jpg,Golden Retriever,1,train
data\dog images\Pug\image_440.jpg,Pug,2,train
data\dog images\Rottweiler\image_106.jpg,Rottweiler,3,train
data\dog images\Rottweiler\image_451.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_267.jpg,Dalmatian,0,train
data\dog images\Pug\image_402.jpg,Pug,2,train
data\dog images\Rottweiler\image_309.jpg,Rottweiler,3,train
data\dog images\Pug\image_449.jpg,Pug,2,train
data\dog images\Dalmatian\image_169.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_157.jpg,Golden Retriever,1,train
data\dog images\Dalmatian\image_66.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_222.jpg,Golden Retriever,1,train
data\dog images\Pug\image_27.jpg,Pug,2,train
data\dog images\Rottweiler\image_200.jpg,Rottweiler,3,train
data\dog images\Rottweiler\image_157.jpg,Rottweiler,3,train
data\dog images\Pug\image_298.jpg,Pug,2,train
data\dog images\Golden_Retriever\image_388.jpg,Golden Retriever,1,train
data\dog images\Rottweiler\image_312.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_335.jpg,Dalmatian,0,train
data\dog images\Pug\image_385.jpg,Pug,2,train
data\dog images\Rottweiler\image_439.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_449.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_255.jpg,Golden Retriever,1,train
data\dog images\Rottweiler\image_86.jpg,Rottweiler,3,train
data\dog images\Golden_Retriever\image_45.jpg,Golden Retriever,1,train
data\dog images\Rottweiler\image_203.jpg,Rottweiler,3,train
data\dog images\Rottweiler\image_107.jpg,Rottweiler,3,train
data\dog images\Pug\image_496.jpg,Pug,2,train
data\dog images\Golden_Retriever\image_289.jpg,Golden Retriever,1,train
data\dog images\Dalmatian\image_178.jpg,Dalmatian,0,train
data\dog images\Rottweiler\image_248.jpg,Rottweiler,3,train
data\dog images\Golden_Retriever\image_52.jpg,Golden Retriever,1,train
data\dog images\Golden_Retriever\image_64.jpg,Golden Retriever,1,train
data\dog images\Golden_Retriever\image_208.jpg,Golden Retriever,1,train
data\dog images\Rottweiler\image_490.jpg,Rottweiler,3,train
data\dog images\Golden_Retriever\image_343.jpg,Golden Retriever,1,train
data\dog images\Dalmatian\image_44.jpg,Dalmatian,0,train
data\dog images\Rottweiler\image_352.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_443.jpg,Dalmatian,0,train
data\dog images\Pug\image_430.jpg,Pug,2,train
data\dog images\Rottweiler\image_373.jpg,Rottweiler,3,train
data\dog images\Rottweiler\image_37.jpg,Rottweiler,3,train
data\dog images\Pug\image_429.jpg,Pug,2,train
data\dog images\Pug\image_276.jpg,Pug,2,train
data\dog images\Dalmatian\image_393.jpg,Dalmatian,0,train
data\dog images\Rottweiler\image_155.jpg,Rottweiler,3,train
data\dog images\Rottweiler\image_230.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_284.jpg,Dalmatian,0,train
data\dog images\Pug\image_470.jpg,Pug,2,train
data\dog images\Golden_Retriever\image_260.jpg,Golden Retriever,1,train
data\dog images\Dalmatian\image_20.jpg,Dalmatian,0,train
data\dog images\Pug\image_362.jpg,Pug,2,train
data\dog images\Rottweiler\image_415.jpg,Rottweiler,3,train
data\dog images\Rottweiler\image_286.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_465.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_58.jpg,Golden Retriever,1,train
data\dog images\Golden_Retriever\image_321.jpg,Golden Retriever,1,train
data\dog images\Rottweiler\image_319.jpg,Rottweiler,3,train
data\dog images\Golden_Retriever\image_306.jpg,Golden Retriever,1,train
data\dog images\Rottweiler\image_173.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_7.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_385.jpg,Golden Retriever,1,train
data\dog images\Pug\image_436.jpg,Pug,2,train
data\dog images\Pug\image_234.jpg,Pug,2,train
data\dog images\Golden_Retriever\image_11.jpg,Golden Retriever,1,train
data\dog images\Golden_Retriever\image_1.jpg,Golden Retriever,1,train
data\dog images\Rottweiler\image_52.jpg,Rottweiler,3,train
data\dog images\Golden_Retriever\image_194.jpg,Golden Retriever,1,train
data\dog images\Dalmatian\image_295.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_85.jpg,Golden Retriever,1,train
data\dog images\Pug\image_52.jpg,Pug,2,train
data\dog images\Rottweiler\image_55.jpg,Rottweiler,3,train
data\dog images\Golden_Retriever\image_430.jpg,Golden Retriever,1,train
data\dog images\Rottweiler\image_125.jpg,Rottweiler,3,train
data\dog images\Pug\image_108.jpg,Pug,2,train
data\dog images\Golden_Retriever\image_438.jpg,Golden Retriever,1,train
data\dog images\Rottweiler\image_28.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_437.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_399.jpg,Golden Retriever,1,train
data\dog images\Golden_Retriever\image_435.jpg,Golden Retriever,1,train
data\dog images\Pug\image_467.jpg,Pug,2,train
data\dog images\Rottweiler\image_387.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_352.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_213.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_379.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_254.jpg,Dalmatian,0,train
data\dog images\Rottweiler\image_412.jpg,Rottweiler,3,train
data\dog images\Golden_Retriever\image_284.jpg,Golden Retriever,1,train
data\dog images\Pug\image_231.jpg,Pug,2,train
data\dog images\Golden_Retriever\image_378.jpg,Golden Retriever,1,train
data\dog images\Rottweiler\image_213.jpg,Rottweiler,3,train
data\dog images\Pug\image_357.jpg,Pug,2,train
data\dog images\Rottweiler\image_198.jpg,Rottweiler,3,train
data\dog images\Pug\image_183.jpg,Pug,2,train
data\dog images\Golden_Retriever\image_172.jpg,Golden Retriever,1,train
data\dog images\Golden_Retriever\image_198.jpg,Golden Retriever,1,train
data\dog images\Rottweiler\image_304.jpg,Rottweiler,3,train
data\dog images\Rottweiler\image_442.jpg,Rottweiler,3,train
data\dog images\Golden_Retriever\image_297.jpg,Golden Retriever,1,train
data\dog images\Dalmatian\image_237.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_293.jpg,Golden Retriever,1,train
data\dog images\Dalmatian\image_111.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_102.jpg,Golden Retriever,1,train
data\dog images\Dalmatian\image_480.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_385.jpg,Dalmatian,0,train
data\dog images\Rottweiler\image_7.jpg,Rottweiler,3,train
data\dog images\Golden_Retriever\image_26.jpg,Golden Retriever,1,train
data\dog images\Rottweiler\image_215.jpg,Rottweiler,3,train
data\dog images\Rottweiler\image_463.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_365.jpg,Dalmatian,0,train
data\dog images\Rottweiler\image_336.jpg,Rottweiler,3,train
data\dog images\Golden_Retriever\image_308.jpg,Golden Retriever,1,train
data\dog images\Rottweiler\image_430.jpg,Rottweiler,3,train
data\dog images\Pug\image_287.jpg,Pug,2,train
data\dog images\Golden_Retriever\image_148.jpg,Golden Retriever,1,train
data\dog images\Pug\image_87.jpg,Pug,2,train
data\dog images\Golden_Retriever\image_450.jpg,Golden Retriever,1,train
data\dog images\Pug\image_354.jpg,Pug,2,train
data\dog images\Dalmatian\image_252.jpg,Dalmatian,0,train
data\dog images\Pug\image_124.jpg,Pug,2,train
data\dog images\Pug\image_220.jpg,Pug,2,train
data\dog images\Golden_Retriever\image_307.jpg,Golden Retriever,1,train
data\dog images\Dalmatian\image_98.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_495.jpg,Dalmatian,0,train
data\dog images\Pug\image_367.jpg,Pug,2,train
data\dog images\Rottweiler\image_329.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_304.jpg,Dalmatian,0,train
data\dog images\Pug\image_300.jpg,Pug,2,train
data\dog images\Dalmatian\image_123.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_339.jpg,Golden Retriever,1,train
data\dog images\Dalmatian\image_156.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_108.jpg,Golden Retriever,1,train
data\dog images\Pug\image_128.jpg,Pug,2,train
data\dog images\Rottweiler\image_122.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_312.jpg,Dalmatian,0,train
